arm,family,check_id,axis,json_path,want,got,status,detail
classic,f01,V0b,,$._meta.results_dir,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,PASS,"the bench must have written into the staging tree, not into the campaign directory its own default points at; common.py:1342 records where record() actually wrote. exact path match"
classic,f01,V1,clusters,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.clusters.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().clusters=False (source env); preflight probe thread_block_cluster_num_ctas=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f01,V2,clusters,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.clusters.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f01,V1,tma,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.tma.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().tma=False (source env); preflight probe tma_tensor_descriptor=False'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f01,V2,tma,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.tma.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f01,V1,warp_specialize,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.warp_specialize.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().warp_specialize=False (source env); preflight probe warp_specialize_tl_range=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f01,V2,warp_specialize,$.fairness.h200_axes.per_family.f01_oproj_resadd.axes.warp_specialize.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f01,V4,tma,$.fairness.h200_axes.per_family.f01_oproj_resadd.tma_form,none,none,PASS,scalar mirror of the capability; the campaign records 'device' in all seven files. hopper.py:377 tma_form()
classic,f01,V4,warp_specialize,$.fairness.h200_axes.per_family.f01_oproj_resadd.ws_mode,none,none,PASS,scalar mirror; the campaign records 'range'. hopper.py:937 sets ws_mode = 'range' if warp_specialize else 'none'
classic,f01,V4,clusters,$.fairness.h200_axes.per_family.f01_oproj_resadd,n/a,no scalar mirror exists,INFO,clusters has no tma_form/ws_mode equivalent; recorded so the check list is complete rather than silently short
classic,f01,V3,,$.fairness.h200_axes.per_family.f01_oproj_resadd.overlays_offered,[],[],PASS,campaign had 4 overlay(s); h200_cfg_overlays() returns [] once every axis is unavailable
classic,f01,V5,,$.fairness.h200_axes.per_family.f01_oproj_resadd.kernel_cfg_keys,"['USE_TMA', 'TMA_A', 'TMA_B', 'TMA_MODE', 'warp_specialize', 'num_consumer_groups', 'num_buffers_warp_spec', 'num_ctas']","['USE_TMA', 'TMA_A', 'TMA_B', 'TMA_MODE', 'warp_specialize', 'num_consumer_groups', 'num_buffers_warp_spec', 'num_ctas']",PASS,"a STATIC module attribute (H200_CFG_KEYS). If it changed, somebody edited the kernel modules between the two sessions and the arm comparison is not a comparison"
classic,f01,V6,,$._meta.device,NVIDIA H200,NVIDIA H200,PASS,note _meta.device is a string; indexing it as a dict throws TypeError
classic,f01,V6,,$.env.uuid,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,PASS,the staged file must name the card this driver pinned
classic,f01,V7,clusters,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
